Episode,Score
0,-35.380365132769164
1,-97.9716294724949
2,15.188678558059662
3,-114.81409148925303
4,430.89561242834367
5,-186.0457560432755
6,357.1186289874705
7,-150.90986984573271
8,-161.77789797832318
9,1878.0134916141992
10,629.3164355549025
11,-137.21406548512158
12,-180.68425422587947
13,-137.15829443603243
14,2299.5339316511104
15,-169.56219786129108
16,-188.82881466665626
17,-174.9961884711019
18,-42.59131264446282
19,-11.839468771838332
20,-137.64663662868185
21,481.82905369870315
22,-136.5297476872734
23,85.22355816038359
24,-171.79796126266754
25,-97.0791626844045
26,-164.31396952299127
27,-170.9569456824924
28,-182.86513405998517
29,-176.5529001612568
30,-109.24632073427485
31,-140.8611784205569
32,-180.18526259229245
33,-139.75661042725915
34,-156.1512115050439
35,-149.44509863206073
36,-152.34910584751395
37,-100.19786184982156
38,-151.70212030129966
39,-161.30732441784767
40,-149.9978590631079
41,-185.23120936351418
42,-158.3822613178456
43,-177.1859915350587
44,-154.88655621865558
45,-146.3249611330325
46,-139.32602135632678
47,584.0001902690329
48,-147.3643563187732
49,-171.44602945825415
50,-134.07574151586638
51,-125.68670802477857
52,-113.11237628237627
53,-131.5522663600128
54,-110.55211902798423
55,-112.71965827725525
56,-62.1657617844926
57,-65.63713489498578
58,1945.2150505543846
59,-103.51856339197077
60,-108.85174768630182
61,-96.46950434739573
62,-95.71821372991074
63,1529.9357730655306
64,-89.48337804804264
65,2174.1634954774795
66,-108.13813684601234
67,-126.91900006906872
68,-31.546543043256253
69,-91.73615734595349
70,-94.9402098231717
71,-128.43103224560033
72,2594.9600507122796
73,-169.07652785767613
74,-150.68419816064682
75,-152.52757418322778
76,-152.9151535771533
77,-158.05249054975116
78,-151.83639204200267
79,-165.51123612850802
80,-170.65597827834236
81,-158.26739374459115
82,-153.29358894131994
83,-147.3056992184472
84,-150.45319234908203
85,-156.73703823950945
86,2100.9590259917572
87,-113.64246895776213
88,-115.18931084314123
89,-90.39369332358264
90,-126.7301207889228
91,-116.17826082910831
92,-119.82969601658691
93,-134.10339529918434
94,99.84982220376993
95,-116.80084238403238
96,-119.19809230432159
97,1232.2387062954028
98,-128.21097487862627
99,2717.7361744158757
100,-176.86393383409427
101,-272.0505564196716
102,-269.01669555963565
103,-259.24072260409804
104,-266.6858602523727
105,-275.846884108319
106,-301.4919917320269
107,-287.36814160555997
108,-287.7292283903223
109,-296.51040481064564
110,-314.47621165700303
111,-317.5512371700039
112,-315.77088277710067
113,-311.8315806681137
114,-312.4746751706167
115,-310.62121988678604
116,-308.6106441230585
117,-310.2928826057421
118,-309.67282976553753
119,-307.5920932595386
120,-309.57377311870994
121,-298.82976844883564
122,-302.21039346072695
123,-301.23971814233965
124,-311.1300779801896
125,-302.3668816365182
126,-302.2776635384004
127,-300.8425941940116
128,-292.99863679089106
129,-290.9734696581648
130,-297.76632807722103
131,-295.67300433660034
132,-295.603274557986
133,-281.25206711588805
134,-285.2463685178852
135,-282.43969762256773
136,-294.90575213287616
137,-285.6482227198945
138,-292.79651203489766
139,-305.80125984483493
140,-295.4192803244787
141,-288.3607920355924
142,-277.367435935127
143,-286.4541900860656
144,-276.1390988283787
145,-277.8439880350844
146,-285.8940881289145
147,-267.1779369102316
148,-282.24925365208304
149,-289.3758205016703
150,-299.1883390417394
151,-297.31458370105264
152,-289.2044343445247
153,-277.7585286316166
154,-290.2167329197918
155,-261.21057324064833
156,-234.27053208862432
157,-241.924301360009
158,-227.80359278137985
159,-238.64052472202724
160,-188.7134349905557
161,-207.2457616921639
162,-199.02913903906006
163,-229.11983474714307
164,-229.58264548972423
165,-258.548024879723
166,-230.71717259009313
167,-233.17330219268217
168,-232.78877962640505
169,-215.56659988575066
170,-207.09064848789293
171,416.4473046401605
172,-206.13525277893447
173,-220.45507785572337
174,-245.56095257533096
175,-246.85515659285292
176,-269.781858574802
177,-262.8579640697199
178,-272.3407028896276
179,-260.6372672844042
180,-250.342492492707
181,-250.99729998128535
182,-234.6539814845948
183,-225.48238908610023
184,-71.68113149446394
185,-216.5113038933408
186,-237.09870174091148
187,-278.77901429081754
188,-279.04055519711807
189,-287.0567536603177
190,-291.60990458724535
191,-267.4036793112781
192,-309.86404337855475
193,-320.0007774721704
194,-318.83778427978956
195,-296.92007555537657
196,-307.5388772279801
197,-338.80005385614993
198,-300.69155141095246
199,-328.05274824182925
200,-337.30299362366213
201,-301.61559902099367
202,-294.00761300691875
203,-279.75589101094835
204,-286.81529527153276
205,-264.3834899797311
206,-272.12110304675457
207,-284.56982404324305
208,-275.32550956667313
209,-261.49196727397157
210,-255.02538420042174
211,-257.8049098074619
212,-262.6602789745516
213,-245.18223524367437
214,-227.88869852515077
215,-187.07418904551022
216,-213.99552161417023
217,-203.53726737833512
218,-211.10375088372308
219,-245.05483390880144
220,-275.74160205230197
221,-276.2468188759589
222,-269.72584962915244
223,-267.45791181117386
224,-280.11373731735404
225,-278.3938628744817
226,-279.58748643032635
227,-282.2492437260952
228,-280.2034564434127
229,-278.65121359072566
230,-279.50997986826906
231,-275.17863255009553
232,-275.37629223287007
233,-281.4971772286744
234,-281.70800428156656
235,-281.2105842562125
236,-280.9297299272891
237,-282.31285991442144
238,-280.05473342841185
239,-280.70153722992364
240,-280.8824081992685
241,-281.2045119878908
242,-280.1514172959296
243,-283.89324440097664
244,-280.7114790739411
245,-281.7007442322566
246,-280.3258691826014
247,-283.3002585275569
248,-282.87547320516677
249,-281.76872758059875
250,-282.0523927942087
